"","Tripaction"
"1",107459
"2",21106
"3",21112
"4",21122
"5",21123
"6",21128
"7",21132
"8",21138
"9",21142
"10",21143
"11",21150
"12",21151
"13",21155
"14",21218
"15",21219
"16",21224
"17",21231
"18",21232
"19",21241
"20",21249
"21",21253
"22",21434
"23",21442
"24",21443
"25",21449
"26",21464
"27",21466
"28",21470
"29",21471
"30",21796
"31",21806
"32",21811
"33",21817
"34",21828
"35",21829
"36",21893
"37",21909
"38",21919
"39",21929
"40",21943
"41",21968
"42",21992
"43",21995
"44",22007
"45",22015
"46",22070
"47",22078
"48",22082
"49",22095
"50",22099
"51",22103
"52",22106
"53",22335
"54",22336
"55",22343
"56",22357
"57",22358
"58",22367
"59",22498
"60",22521
"61",22525
"62",22543
"63",22550
"64",22552
"65",22561
"66",22564
"67",22571
"68",22443
"69",22444
"70",22464
"71",22472
"72",22479
"73",22630
"74",22644
"75",22655
"76",22664
"77",22665
"78",22672
"79",22904
"80",22913
"81",22920
"82",22923
"83",22973
"84",22978
"85",22982
"86",22989
"87",22996
"88",23004
"89",23009
"90",23013
"91",23018
"92",23024
"93",23030
"94",23034
"95",23041
"96",23051
"97",23055
"98",23059
"99",23065
"100",23206
"101",23211
"102",23219
"103",23220
"104",23231
"105",23240
"106",23241
"107",23250
"108",23251
"109",23377
"110",23378
"111",23385
"112",23392
"113",23399
"114",23406
"115",23407
"116",23411
"117",23416
"118",23835
"119",23837
"120",23845
"121",23847
"122",23856
"123",23866
"124",23873
"125",23876
"126",23893
"127",23897
"128",23898
"129",23909
"130",23910
"131",23923
"132",23924
"133",23925
"134",23931
"135",23972
"136",23985
"137",23995
"138",23996
"139",24004
"140",24011
"141",24024
"142",24030
"143",24038
"144",24045
"145",24052
"146",24053
"147",24068
"148",24076
"149",24077
"150",24089
"151",24095
"152",24290
"153",24291
"154",24300
"155",24303
"156",24315
"157",24316
"158",24323
"159",24326
"160",24331
"161",24336
"162",24337
"163",24343
"164",24348
"165",24358
"166",24364
"167",24371
"168",24617
"169",24624
"170",24625
"171",24635
"172",24644
"173",24652
"174",24653
"175",24658
"176",24663
"177",24664
"178",24669
"179",24670
"180",24675
"181",24676
"182",24681
"183",24682
"184",24687
"185",24798
"186",24806
"187",24816
"188",24843
"189",24848
"190",24864
"191",24871
"192",24925
"193",24932
"194",24936
"195",24940
"196",24946
"197",24950
"198",24959
"199",24973
"200",24977
"201",24981
"202",24982
"203",24988
"204",24991
"205",24994
"206",25014
"207",25017
"208",25023
"209",25027
"210",25033
"211",25036
"212",25041
"213",25044
"214",25286
"215",25291
"216",25292
"217",25303
"218",25313
"219",25318
"220",25319
"221",25495
"222",25498
"223",25513
"224",25532
"225",25913
"226",25914
"227",25919
"228",25922
"229",25936
"230",25937
"231",25943
"232",25730
"233",25735
"234",25740
"235",25741
"236",25752
"237",25753
"238",25762
"239",25948
"240",25958
"241",25968
"242",25972
"243",25976
"244",25977
"245",25981
"246",25988
"247",25991
"248",100047
"249",100051
