"period","lifeform","abundance","num_samples"
"2012-07","holoplankton",0.00012,1
"2012-07","meroplankton",0,1
"2012-08","holoplankton",0.000332533333333333,2
"2012-08","meroplankton",0,2
"2012-09","holoplankton",0.0000162309523809524,3
"2012-09","meroplankton",0,3
"2012-10","holoplankton",0.0000191916666666667,2
"2012-10","meroplankton",0,2
"2012-11","holoplankton",0.00000584166666666667,2
"2012-11","meroplankton",0,2
"2012-12","holoplankton",0.0000161777777777778,3
"2012-12","meroplankton",0,3
"2013-01","holoplankton",0.000000678571428571429,2
"2013-01","meroplankton",0,2
"2013-02","holoplankton",0.00000242857142857143,1
"2013-02","meroplankton",0,1
"2013-03","holoplankton",0.00000441746031746031,3
"2013-03","meroplankton",0,3
"2013-04","holoplankton",0.0000165916666666667,2
"2013-04","meroplankton",0,2
"2013-05","holoplankton",0.0000198452380952381,2
"2013-05","meroplankton",0,2
"2013-06","holoplankton",0.0000291365079365079,3
"2013-06","meroplankton",0.00000126031746031746,3
"2013-07","holoplankton",0.00000925873015873016,3
"2013-07","meroplankton",0,3
"2013-08","holoplankton",0.00000953015873015873,3
"2013-08","meroplankton",0,3
"2013-09","holoplankton",0.00000529761904761905,2
"2013-09","meroplankton",0,2
"2013-11","holoplankton",0.0000117857142857143,3
"2013-11","meroplankton",0,3
"2013-12","holoplankton",0.00000896507936507936,3
"2013-12","meroplankton",0,3
"2014-03","holoplankton",0.000793647324189621,7
"2014-03","meroplankton",0.00000895740402976489,7
"2014-04","holoplankton",0.000808355950330561,3
"2014-04","meroplankton",0.000304253156877681,3
"2014-05","holoplankton",0.00537533815826191,4
"2014-05","meroplankton",0.000243641389609605,4
"2014-06","holoplankton",0.000211544025169614,3
"2014-06","meroplankton",0.00000895740402976489,3
"2014-07","holoplankton",0.00228000766906521,3
"2014-07","meroplankton",0,3
"2014-08","holoplankton",0.00223337940475471,2
"2014-08","meroplankton",0.0015048438770005,2
"2014-09","holoplankton",0.00317450398814868,2
"2014-09","meroplankton",0.00642066720853547,2
"2014-10","holoplankton",0.00035214727654933,4
"2014-10","meroplankton",0,4
"2014-11","holoplankton",0.000812511190533257,3
"2014-11","meroplankton",0,3
"2014-12","holoplankton",0.000163024753341721,2
"2014-12","meroplankton",0.00000369492916227801,2
"2015-02","holoplankton",0.000628959052956658,3
"2015-02","meroplankton",0.000645306315310979,3
"2015-03","holoplankton",0.00102751376892547,3
"2015-03","meroplankton",0.0000179148080595298,3
"2015-04","holoplankton",0.00205602280496537,3
"2015-04","meroplankton",0.000116844359232711,3
"2015-05","holoplankton",0.0081920436187772,3
"2015-05","meroplankton",0.000126398923531127,3
"2015-06","holoplankton",0.00500559642525551,3
"2015-06","meroplankton",0.0000761379342530016,3
"2015-07","holoplankton",0.00137934069387235,3
"2015-07","meroplankton",0.0000375091293746405,3
"2015-08","holoplankton",0.00162785889234261,3
"2015-08","meroplankton",0.0000134361060446473,3
"2015-09","holoplankton",0.00119021506045501,3
"2015-09","meroplankton",0,3
"2015-10","holoplankton",0.00178690257722666,3
"2015-10","meroplankton",0,3
"2015-11","holoplankton",0.00165602495168065,3
"2015-11","meroplankton",0,3
"2015-12","holoplankton",0.000140463291941751,4
"2015-12","meroplankton",0,4
"2016-01","holoplankton",0.000545008271855473,3
"2016-01","meroplankton",0.0000250807312833417,3
"2016-02","holoplankton",0.000222939833629704,3
"2016-02","meroplankton",0,3
"2016-03","holoplankton",0.00170548972726723,3
"2016-03","meroplankton",0.0000125403656416708,3
"2016-04","holoplankton",0.000848067108195852,3
"2016-04","meroplankton",0.0000209006094027847,3
"2016-05","holoplankton",0.00847012125054566,3
"2016-05","meroplankton",0.000284248287877873,3
"2016-06","holoplankton",0.00122019748227686,3
"2016-06","meroplankton",0.0000359291428305014,3
"2016-07","holoplankton",0.00363770130319896,3
"2016-07","meroplankton",0.000145109945282191,3
"2016-08","holoplankton",0.00110355217646704,1
"2016-08","meroplankton",0,1
"2016-09","holoplankton",0.0011244030225141,3
"2016-09","meroplankton",0.0000209006094027847,3
"2016-10","holoplankton",0.00155094962607593,3
"2016-10","meroplankton",0.00000268722120892946,3
"2016-11","holoplankton",0.00112169091962731,3
"2016-11","meroplankton",0.00000354563909511527,3
"2016-12","holoplankton",0.00100054203012474,3
"2016-12","meroplankton",0,3
"2017-03","holoplankton",0.00382376649023947,2
"2017-03","meroplankton",0.0000815123766708607,2
"2017-04","holoplankton",0.00252300213505045,2
"2017-04","meroplankton",0.000516543632383109,2
"2017-05","holoplankton",0.00205821239261709,3
"2017-05","meroplankton",0.00513557831039854,3
"2017-06","holoplankton",0.00323740486977992,3
"2017-06","meroplankton",0.000100322925133367,3
"2017-07","holoplankton",0.00143109458382211,3
"2017-07","meroplankton",0.0000770336746559782,3
"2017-08","holoplankton",0.0034276999420567,2
"2017-08","meroplankton",0,2
"2017-09","holoplankton",0.00374051239611838,3
"2017-09","meroplankton",0.0000510572029696599,3
"2017-10","holoplankton",0.00132917923130567,3
"2017-10","meroplankton",0.0000353319825618504,3
"2017-11","holoplankton",0.000841249528462086,1
"2017-11","meroplankton",0.0000261257617534809,1
"2017-12","holoplankton",0.000390524154439354,4
"2017-12","meroplankton",0,4
"2018-01","holoplankton",0.0000541176493464962,2
"2018-01","meroplankton",0,2
"2018-02","holoplankton",0.000220103322353612,3
"2018-02","meroplankton",0.00000261257617534809,3
"2018-03","holoplankton",0.00106632918638779,3
"2018-03","meroplankton",0,3
"2018-04","holoplankton",0.000737891038629743,3
"2018-04","meroplankton",0.0000698677514321663,3
"2018-05","holoplankton",0.00519788203176113,3
"2018-05","meroplankton",0.000237072626654444,3
"2018-06","holoplankton",0.000810645064693723,1
"2018-06","meroplankton",0.0000358296161190596,1
"2018-07","holoplankton",0.0019591584330546,3
"2018-07","meroplankton",0,3
"2018-08","holoplankton",0.000270314548276016,3
"2018-08","meroplankton",0,3
"2018-09","holoplankton",0.000240755114977792,3
"2018-09","meroplankton",0.0000250807312833417,3
"2018-10","holoplankton",0.000681957026799433,3
"2018-10","meroplankton",0.0000283651127609222,3
"2018-11","holoplankton",0.000369701300279883,3
"2018-11","meroplankton",0.0000129929011577579,3
"2018-12","holoplankton",0.000492507931569906,3
"2018-12","meroplankton",0.00000335902651116183,3
"2019-01","holoplankton",0.000346315633300785,3
"2019-01","meroplankton",0.00000542420577357985,3
"2019-02","holoplankton",0.000169811230978161,3
"2019-02","meroplankton",0.00000340567965715019,3
"2019-03","holoplankton",0.000531024768897895,3
"2019-03","meroplankton",0.0000104503047013924,3
"2019-04","holoplankton",0.000644982853498793,3
"2019-04","meroplankton",0.000506018682648135,3
"2019-05","holoplankton",0.00513318966932393,2
"2019-05","meroplankton",0.000100322925133367,2
"2019-06","holoplankton",0.000330528208698325,2
"2019-06","meroplankton",0.0000179148080595298,2
"2019-07","holoplankton",0.00146941236772721,3
"2019-07","meroplankton",0.0000250807312833417,3
"2019-08","holoplankton",0.00105219639336305,3
"2019-08","meroplankton",0.0000339634902795252,3
"2019-09","holoplankton",0.00155045199251872,4
"2019-09","meroplankton",0.00000738985832455601,4
"2019-10","holoplankton",0.00087837299182989,3
"2019-10","meroplankton",0.0000119432053730199,3
"2019-11","holoplankton",0.000511044781575948,3
"2019-11","meroplankton",0.00000223935100744122,3
"2019-12","holoplankton",0.000372805289592975,4
"2019-12","meroplankton",0,4
"2020-02","holoplankton",0.000668138364957682,4
"2020-02","meroplankton",0.0000293230573585498,4
"2020-05","holoplankton",0.00281786207217435,7
"2020-05","meroplankton",0.000267804744248353,7
"2020-06","holoplankton",0.00605440891042954,3
"2020-06","meroplankton",0.00128986618028614,3
"2020-07","holoplankton",0.00483076693848712,2
"2020-07","meroplankton",0,2
"2020-08","holoplankton",0.00101371850126997,3
"2020-08","meroplankton",0,3
"2020-09","holoplankton",0.000799398546300796,3
"2020-09","meroplankton",0.000689720110291897,3
"2020-11","holoplankton",0.000734731065541464,2
"2020-11","meroplankton",0,2
"2020-12","holoplankton",0.000441898598801735,3
"2020-12","meroplankton",0.000259764716863182,3
