polygon wkt,period,numSamples,abundanceType,auto_and_mix_dinos,carniv_zoo,ciliates,copepods,crustacean,diatom,dinoflagellate,fish_larvae,gelatinous,holoplankton,lg_copepods,lg_phyto,meroplankton,non_carniv_zoo,pelagic_diatoms,phytoplankton,potentially_toxic/nuisance_diatoms,potentially_toxic/nuisance_dinos,sm_copepods,sm_phyto,tychopelagic_diatoms,taxa used
"POLYGON ((1 60, 3 60, 3 58, 1 58, 1 60))",1960-01,2,ind/3m^3,n/a,n/a,n/a,4.0,4.0,n/a,n/a,n/a,n/a,4.0,4.0,n/a,n/a,4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"{""copepods"": [""Calanus finmarchicus""], ""crustacean"": [""Calanus finmarchicus""], ""holoplankton"": [""Calanus finmarchicus""], ""lg_copepods"": [""Calanus finmarchicus""], ""non_carniv_zoo"": [""Calanus finmarchicus""]}"
"POLYGON ((1 60, 3 60, 3 58, 1 58, 1 60))",1960-02,0,ind/3m^3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
"POLYGON ((1 60, 3 60, 3 58, 1 58, 1 60))",1960-03,3,ind/3m^3,n/a,n/a,n/a,20.333,20.667,16666.667,n/a,0.333,n/a,20.667,3.667,5000.0,n/a,21.0,16666.667,16666.667,n/a,n/a,n/a,n/a,n/a,"{""copepods"": [""Calanus finmarchicus"", ""Metridia lucens"", ""Calanus helgolandicus"", ""Para-Pseudocalanus spp.""], ""crustacean"": [""Calanus finmarchicus"", ""Metridia lucens"", ""Euphausiacea Total"", ""Calanus helgolandicus"", ""Para-Pseudocalanus spp.""], ""diatom"": [""Thalassiosira spp."", ""Thalassionema nitzschioides""], ""fish_larvae"": [""Fish eggs (Total)""], ""holoplankton"": [""Calanus finmarchicus"", ""Metridia lucens"", ""Euphausiacea Total"", ""Calanus helgolandicus"", ""Para-Pseudocalanus spp.""], ""lg_copepods"": [""Calanus finmarchicus"", ""Metridia lucens"", ""Calanus helgolandicus""], ""lg_phyto"": [""Thalassionema nitzschioides""], ""non_carniv_zoo"": [""Fish eggs (Total)"", ""Calanus finmarchicus"", ""Metridia lucens"", ""Euphausiacea Total"", ""Calanus helgolandicus"", ""Para-Pseudocalanus spp.""], ""pelagic_diatoms"": [""Thalassiosira spp."", ""Thalassionema nitzschioides""], ""phytoplankton"": [""Thalassiosira spp."", ""Thalassionema nitzschioides""]}"
"POLYGON ((1 60, 3 60, 3 58, 1 58, 1 60))",1960-04,0,ind/3m^3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
"POLYGON ((1 60, 3 60, 3 58, 1 58, 1 60))",1960-05,1,ind/3m^3,15000.0,n/a,n/a,687.0,687.0,480000.0,30000.0,n/a,n/a,687.0,337.0,60000.0,300.0,987.0,480000.0,510000.0,n/a,n/a,300.0,15000.0,n/a,"{""auto_and_mix_dinos"": [""Ceratium fusus""], ""copepods"": [""Acartia spp. (unidentified)"", ""Calanus I-IV"", ""Calanus finmarchicus"", ""Metridia lucens"", ""Para-Pseudocalanus spp.""], ""crustacean"": [""Acartia spp. (unidentified)"", ""Calanus I-IV"", ""Calanus finmarchicus"", ""Metridia lucens"", ""Para-Pseudocalanus spp.""], ""diatom"": [""Skeletonema costatum"", ""Rhizosolenia imbricata"", ""Pseudo-nitzschia seriata complex"", ""Chaetoceros(Hyalochaete) spp."", ""Proboscia alata""], ""dinoflagellate"": [""Ceratium fusus"", ""Protoperidinium spp.""], ""holoplankton"": [""Acartia spp. (unidentified)"", ""Calanus I-IV"", ""Calanus finmarchicus"", ""Metridia lucens"", ""Para-Pseudocalanus spp.""], ""lg_copepods"": [""Calanus I-IV"", ""Calanus finmarchicus"", ""Metridia lucens""], ""lg_phyto"": [""Pseudo-nitzschia seriata complex"", ""Proboscia alata"", ""Ceratium fusus"", ""Rhizosolenia imbricata""], ""meroplankton"": [""Echinoderm larvae""], ""non_carniv_zoo"": [""Echinoderm larvae"", ""Acartia spp. (unidentified)"", ""Calanus I-IV"", ""Calanus finmarchicus"", ""Metridia lucens"", ""Para-Pseudocalanus spp.""], ""pelagic_diatoms"": [""Skeletonema costatum"", ""Rhizosolenia imbricata"", ""Pseudo-nitzschia seriata complex"", ""Chaetoceros(Hyalochaete) spp."", ""Proboscia alata""], ""phytoplankton"": [""Skeletonema costatum"", ""Rhizosolenia imbricata"", ""Ceratium fusus"", ""Protoperidinium spp."", ""Pseudo-nitzschia seriata complex"", ""Chaetoceros(Hyalochaete) spp."", ""Proboscia alata""], ""potentially_toxic/nuisance_diatoms"": [""Skeletonema costatum""], ""sm_copepods"": [""Acartia spp. (unidentified)""], ""sm_phyto"": [""Skeletonema costatum""]}"
"POLYGON ((1 60, 3 60, 3 58, 1 58, 1 60))",1960-06,0,ind/3m^3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
"POLYGON ((1 60, 3 60, 3 58, 1 58, 1 60))",1960-07,6,ind/3m^3,35000.0,295.167,n/a,283.833,302.167,57500.0,40833.333,0.667,n/a,596.667,208.833,82500.0,33.5,335.667,57500.0,98333.333,n/a,n/a,33.333,n/a,n/a,"{""auto_and_mix_dinos"": [""Ceratium longipes"", ""Ceratium furca"", ""Ceratium macroceros"", ""Ceratium fusus"", ""Dinophysis spp. Total""], ""carniv_zoo"": [""Candacia armata"", ""Chaetognatha eyecount"", ""Paraeuchaeta hebes"", ""Thecosomata (North Atlantic)""], ""copepods"": [""Calanus I-IV"", ""Calanus finmarchicus"", ""Metridia lucens"", ""Oithona spp."", ""Candacia armata"", ""Temora longicornis"", ""Calanus helgolandicus"", ""Paraeuchaeta hebes"", ""Para-Pseudocalanus spp.""], ""crustacean"": [""Calanus I-IV"", ""Calanus finmarchicus"", ""Metridia lucens"", ""Euphausiacea Total"", ""Oithona spp."", ""Candacia armata"", ""Temora longicornis"", ""Calanus helgolandicus"", ""Decapoda larvae (Total)"", ""Paraeuchaeta hebes"", ""Para-Pseudocalanus spp.""], ""diatom"": [""Rhizosolenia imbricata"", ""Corethron hystrix"", ""Chaetoceros(Hyalochaete) spp."", ""Proboscia alata"", ""Rhizosolenia hebetata semispina""], ""dinoflagellate"": [""Ceratium longipes"", ""Ceratium furca"", ""Ceratium macroceros"", ""Ceratium fusus"", ""Dinophysis spp. Total"", ""Protoperidinium spp.""], ""fish_larvae"": [""Fish larvae""], ""holoplankton"": [""Calanus I-IV"", ""Calanus finmarchicus"", ""Oithona spp."", ""Euphausiacea Total"", ""Metridia lucens"", ""Candacia armata"", ""Temora longicornis"", ""Calanus helgolandicus"", ""Chaetognatha eyecount"", ""Paraeuchaeta hebes"", ""Thecosomata (North Atlantic)"", ""Para-Pseudocalanus spp.""], ""lg_copepods"": [""Calanus I-IV"", ""Calanus finmarchicus"", ""Metridia lucens"", ""Candacia armata"", ""Calanus helgolandicus"", ""Paraeuchaeta hebes""], ""lg_phyto"": [""Rhizosolenia imbricata"", ""Ceratium longipes"", ""Corethron hystrix"", ""Ceratium furca"", ""Ceratium macroceros"", ""Ceratium fusus"", ""Proboscia alata"", ""Rhizosolenia hebetata semispina""], ""meroplankton"": [""Echinoderm larvae"", ""Bivalvia larvae"", ""Cyphonautes"", ""Decapoda larvae (Total)""], ""non_carniv_zoo"": [""Echinoderm larvae"", ""Bivalvia larvae"", ""Calanus I-IV"", ""Calanus finmarchicus"", ""Metridia lucens"", ""Euphausiacea Total"", ""Oithona spp."", ""Temora longicornis"", ""Cyphonautes"", ""Fish larvae"", ""Calanus helgolandicus"", ""Decapoda larvae (Total)"", ""Para-Pseudocalanus spp.""], ""pelagic_diatoms"": [""Rhizosolenia imbricata"", ""Corethron hystrix"", ""Chaetoceros(Hyalochaete) spp."", ""Proboscia alata"", ""Rhizosolenia hebetata semispina""], ""phytoplankton"": [""Corethron hystrix"", ""Chaetoceros(Hyalochaete) spp."", ""Ceratium fusus"", ""Proboscia alata"", ""Dinophysis spp. Total"", ""Protoperidinium spp."", ""Rhizosolenia imbricata"", ""Ceratium longipes"", ""Ceratium furca"", ""Ceratium macroceros"", ""Rhizosolenia hebetata semispina""], ""sm_copepods"": [""Temora longicornis"", ""Oithona spp.""]}"
"POLYGON ((1 60, 3 60, 3 58, 1 58, 1 60))",1960-08,3,ind/3m^3,5000.0,1450.0,n/a,78.333,79.333,48333.333,5000.0,n/a,n/a,1528.667,78.333,53333.333,0.667,79.333,48333.333,53333.333,n/a,n/a,n/a,n/a,n/a,"{""auto_and_mix_dinos"": [""Ceratium macroceros""], ""carniv_zoo"": [""Thecosomata (North Atlantic)""], ""copepods"": [""Calanus I-IV"", ""Calanus finmarchicus""], ""crustacean"": [""Calanus I-IV"", ""Calanus finmarchicus"", ""Euphausiacea Total"", ""Decapoda larvae (Total)""], ""diatom"": [""Proboscia alata"", ""Proboscia inermis""], ""dinoflagellate"": [""Ceratium macroceros""], ""holoplankton"": [""Calanus I-IV"", ""Calanus finmarchicus"", ""Euphausiacea Total"", ""Thecosomata (North Atlantic)""], ""lg_copepods"": [""Calanus I-IV"", ""Calanus finmarchicus""], ""lg_phyto"": [""Proboscia alata"", ""Proboscia inermis"", ""Ceratium macroceros""], ""meroplankton"": [""Decapoda larvae (Total)""], ""non_carniv_zoo"": [""Calanus I-IV"", ""Calanus finmarchicus"", ""Euphausiacea Total"", ""Decapoda larvae (Total)""], ""pelagic_diatoms"": [""Proboscia alata"", ""Proboscia inermis""], ""phytoplankton"": [""Proboscia alata"", ""Proboscia inermis"", ""Ceratium macroceros""]}"
"POLYGON ((1 60, 3 60, 3 58, 1 58, 1 60))",1960-09,4,ind/3m^3,n/a,1600.0,n/a,441.25,442.75,7500.0,n/a,n/a,n/a,2042.75,303.75,7500.0,25.0,467.75,7500.0,7500.0,n/a,n/a,112.5,n/a,n/a,"{""carniv_zoo"": [""Thecosomata (North Atlantic)""], ""copepods"": [""Acartia spp. (unidentified)"", ""Calanus I-IV"", ""Calanus finmarchicus"", ""Metridia lucens"", ""Temora longicornis"", ""Calanus helgolandicus"", ""Para-Pseudocalanus spp.""], ""crustacean"": [""Acartia spp. (unidentified)"", ""Calanus I-IV"", ""Calanus finmarchicus"", ""Metridia lucens"", ""Euphausiacea Total"", ""Temora longicornis"", ""Calanus helgolandicus"", ""Para-Pseudocalanus spp.""], ""diatom"": [""Pseudo-nitzschia seriata complex"", ""Proboscia alata""], ""holoplankton"": [""Acartia spp. (unidentified)"", ""Calanus I-IV"", ""Calanus finmarchicus"", ""Metridia lucens"", ""Euphausiacea Total"", ""Temora longicornis"", ""Calanus helgolandicus"", ""Thecosomata (North Atlantic)"", ""Para-Pseudocalanus spp.""], ""lg_copepods"": [""Calanus I-IV"", ""Calanus finmarchicus"", ""Metridia lucens"", ""Calanus helgolandicus""], ""lg_phyto"": [""Pseudo-nitzschia seriata complex"", ""Proboscia alata""], ""meroplankton"": [""Echinoderm larvae""], ""non_carniv_zoo"": [""Acartia spp. (unidentified)"", ""Echinoderm larvae"", ""Calanus I-IV"", ""Calanus finmarchicus"", ""Metridia lucens"", ""Euphausiacea Total"", ""Temora longicornis"", ""Calanus helgolandicus"", ""Para-Pseudocalanus spp.""], ""pelagic_diatoms"": [""Pseudo-nitzschia seriata complex"", ""Proboscia alata""], ""phytoplankton"": [""Pseudo-nitzschia seriata complex"", ""Proboscia alata""], ""sm_copepods"": [""Acartia spp. (unidentified)"", ""Temora longicornis""]}"
"POLYGON ((1 60, 3 60, 3 58, 1 58, 1 60))",1960-10,6,ind/3m^3,10000.0,192.833,n/a,483.167,483.667,2500.0,10000.0,n/a,n/a,676.0,99.833,12500.0,25.0,508.167,2500.0,12500.0,n/a,n/a,266.667,n/a,n/a,"{""auto_and_mix_dinos"": [""Ceratium fusus"", ""Ceratium lineatum"", ""Ceratium macroceros"", ""Ceratium furca""], ""carniv_zoo"": [""Candacia armata"", ""Hyperiidea (Total)"", ""Chaetognatha eyecount"", ""Thecosomata (North Atlantic)""], ""copepods"": [""Acartia spp. (unidentified)"", ""Calanus I-IV"", ""Oithona spp."", ""Calanus finmarchicus"", ""Metridia lucens"", ""Candacia armata"", ""Temora longicornis"", ""Calanus helgolandicus"", ""Centropages typicus"", ""Para-Pseudocalanus spp.""], ""crustacean"": [""Oithona spp."", ""Calanus finmarchicus"", ""Metridia lucens"", ""Euphausiacea Total"", ""Calanus helgolandicus"", ""Centropages typicus"", ""Hyperiidea (Total)"", ""Acartia spp. (unidentified)"", ""Calanus I-IV"", ""Candacia armata"", ""Temora longicornis"", ""Para-Pseudocalanus spp.""], ""diatom"": [""Rhizosolenia hebetata semispina""], ""dinoflagellate"": [""Ceratium fusus"", ""Ceratium lineatum"", ""Ceratium macroceros"", ""Ceratium furca""], ""holoplankton"": [""Oithona spp."", ""Calanus finmarchicus"", ""Metridia lucens"", ""Euphausiacea Total"", ""Calanus helgolandicus"", ""Centropages typicus"", ""Hyperiidea (Total)"", ""Chaetognatha eyecount"", ""Acartia spp. (unidentified)"", ""Calanus I-IV"", ""Candacia armata"", ""Temora longicornis"", ""Thecosomata (North Atlantic)"", ""Para-Pseudocalanus spp.""], ""lg_copepods"": [""Calanus I-IV"", ""Calanus finmarchicus"", ""Metridia lucens"", ""Candacia armata"", ""Calanus helgolandicus""], ""lg_phyto"": [""Ceratium fusus"", ""Ceratium lineatum"", ""Ceratium macroceros"", ""Ceratium furca"", ""Rhizosolenia hebetata semispina""], ""meroplankton"": [""Echinoderm larvae""], ""non_carniv_zoo"": [""Acartia spp. (unidentified)"", ""Echinoderm larvae"", ""Calanus I-IV"", ""Oithona spp."", ""Calanus finmarchicus"", ""Metridia lucens"", ""Euphausiacea Total"", ""Temora longicornis"", ""Calanus helgolandicus"", ""Centropages typicus"", ""Para-Pseudocalanus spp.""], ""pelagic_diatoms"": [""Rhizosolenia hebetata semispina""], ""phytoplankton"": [""Ceratium fusus"", ""Ceratium lineatum"", ""Ceratium macroceros"", ""Ceratium furca"", ""Rhizosolenia hebetata semispina""], ""sm_copepods"": [""Acartia spp. (unidentified)"", ""Oithona spp."", ""Centropages typicus"", ""Temora longicornis""]}"
